Congressional Districts,WAOFM - GIS - Legislative District Boundary,DistrictID
1.0,1.0,1
1.0,16.0,2
1.0,41.0,3
1.0,43.0,4
1.0,44.0,5
1.0,45.0,6
1.0,47.0,7
1.0,48.0,8
1.0,49.0,9
1.0,6.0,10
10.0,11.0,11
10.0,15.0,12
10.0,2.0,13
10.0,27.0,14
10.0,28.0,15
10.0,32.0,16
10.0,34.0,17
10.0,35.0,18
10.0,39.0,19
2.0,1.0,20
2.0,16.0,21
2.0,21.0,22
2.0,40.0,23
2.0,41.0,24
2.0,43.0,25
2.0,44.0,26
2.0,7.0,27
3.0,20.0,28
3.0,24.0,29
3.0,25.0,30
3.0,26.0,31
3.0,27.0,32
3.0,8.0,33
4.0,10.0,34
4.0,12.0,35
4.0,13.0,36
4.0,18.0,37
4.0,19.0,38
4.0,20.0,39
4.0,22.0,40
4.0,23.0,41
5.0,10.0,42
5.0,13.0,43
5.0,19.0,44
5.0,23.0,45
5.0,3.0,46
5.0,5.0,47
5.0,9.0,48
6.0,11.0,49
6.0,26.0,50
6.0,29.0,51
6.0,30.0,52
6.0,33.0,53
6.0,34.0,54
6.0,35.0,55
6.0,39.0,56
7.0,17.0,57
7.0,21.0,58
7.0,31.0,59
7.0,36.0,60
7.0,37.0,61
7.0,38.0,62
7.0,4.0,63
7.0,48.0,64
7.0,7.0,65
8.0,14.0,66
8.0,15.0,67
8.0,17.0,68
8.0,18.0,69
8.0,19.0,70
8.0,2.0,71
8.0,34.0,72
8.0,46.0,73
8.0,47.0,74
8.0,6.0,75
9.0,11.0,76
9.0,14.0,77
9.0,17.0,78
9.0,36.0,79
9.0,38.0,80
9.0,42.0,81
9.0,46.0,82
9.0,49.0,83
Unknown,Unknown,84
