County,Counties,City,State,Postal Code,2020 Census Tract,LocationID
Ada,1659.0,Boise,ID,83702.0,16001000101.0,1
Adams,2953.0,Benge,WA,99105.0,53001950200.0,2
Adams,2953.0,Hatton,WA,99344.0,53001950200.0,3
Adams,2953.0,Lind,WA,99341.0,53001950200.0,4
Adams,2953.0,Othello,WA,99344.0,53001950200.0,5
Adams,2953.0,Othello,WA,99344.0,53001950301.0,6
Adams,2953.0,Othello,WA,99344.0,53001950302.0,7
Adams,2953.0,Othello,WA,99344.0,53001950303.0,8
Adams,2953.0,Othello,WA,99344.0,53001950400.0,9
Adams,2953.0,Othello,WA,99344.0,53001950500.0,10
Adams,2953.0,Ritzville,WA,99169.0,53001950100.0,11
Adams,2953.0,Washtucna,WA,99371.0,53001950200.0,12
Alameda,1141.0,Alameda,CA,94501.0,6001427600.0,13
Alameda,1141.0,Alameda,CA,94501.0,6001428200.0,14
Alameda,1141.0,Alameda,CA,94501.0,6001428700.0,15
Alameda,1141.0,Berkeley,CA,94707.0,6001421400.0,16
Alameda,1141.0,Dublin,CA,94568.0,6001450751.0,17
Alameda,1141.0,Fremont,CA,94538.0,6001442502.0,18
Alameda,1141.0,Newark,CA,94560.0,6001444304.0,19
Alameda,1141.0,Piedmont,CA,94611.0,6001426200.0,20
Albemarle,2906.0,Charlottesville,VA,22901.0,51003011000.0,21
Alexandria,2904.0,Alexandria,VA,22301.0,51510201500.0,22
Alexandria,2904.0,Alexandria,VA,22304.0,51510200404.0,23
Alexandria,2904.0,Alexandria,VA,22305.0,51510201202.0,24
Alexandria,2904.0,Alexandria,VA,22311.0,51510200106.0,25
Alexandria,2904.0,Alexandria,VA,22314.0,51510200701.0,26
Alexandria,2904.0,Alexandria,VA,22314.0,51510200705.0,27
Alexandria,2904.0,Alexandria,VA,22314.0,51510202001.0,28
Alexandria,2904.0,Alexandria,VA,22314.0,51510202002.0,29
Allegheny,2455.0,Oakdale,PA,15071.0,42003458001.0,30
Allegheny,2455.0,Pittsburgh,PA,15222.0,42003020100.0,31
Allen,1839.0,Fort Wayne,IN,46802.0,18003001200.0,32
Allen,1839.0,Fort Wayne,IN,46818.0,18003010601.0,33
Anchorage,1669.0,Anchorage,AK,99517.0,2020002100.0,34
Anchorage,1669.0,Eagle River,AK,99577.0,2020000206.0,35
Anne Arundel,418.0,Annapolis,MD,21401.0,24003702402.0,36
Anne Arundel,418.0,Annapolis,MD,21409.0,24003731103.0,37
Anne Arundel,418.0,Arnold,MD,21012.0,24003731103.0,38
Anne Arundel,418.0,Crofton,MD,21114.0,24003702209.0,39
Anne Arundel,418.0,Edgewater,MD,21037.0,24003701400.0,40
Anne Arundel,418.0,Fort George G Meade,MD,20755.0,24003740603.0,41
Anne Arundel,418.0,Hanover,MD,21076.0,24003740108.0,42
Anne Arundel,418.0,Pasadena,MD,21122.0,24003731307.0,43
Anne Arundel,418.0,Severna Park,MD,21146.0,24003730606.0,44
Arapahoe,1395.0,Englewood,CO,80111.0,8005006861.0,45
Arlington,907.0,Arlington,VA,22202.0,51013103503.0,46
Arlington,907.0,Arlington,VA,22202.0,51013103505.0,47
Arlington,907.0,Arlington,VA,22203.0,51013101300.0,48
Asotin,1769.0,Asotin,WA,99402.0,53003960100.0,49
