Electric Utility,UtilityID
AVISTA CORP,1
"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC",2
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,3
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY,4
BONNEVILLE POWER ADMINISTRATION||BENTON RURAL ELECTRIC ASSN,5
"BONNEVILLE POWER ADMINISTRATION||BIG BEND ELECTRIC COOP, INC",6
BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),7
BONNEVILLE POWER ADMINISTRATION||CITY OF COULEE DAM - (WA),8
BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),9
BONNEVILLE POWER ADMINISTRATION||CITY OF MCCLEARY - (WA),10
BONNEVILLE POWER ADMINISTRATION||CITY OF MILTON - (WA)|CITY OF TACOMA - (WA),11
BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),12
BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),13
"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ALDER MUTUAL LIGHT CO, INC|PENINSULA LIGHT COMPANY",14
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||BENTON RURAL ELECTRIC ASSN|PENINSULA LIGHT COMPANY,15
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,16
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,17
"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||OHOP MUTUAL LIGHT COMPANY, INC|PENINSULA LIGHT COMPANY",18
