Make,Model,Model Year,VehicleID
ACURA,ZDX,2024,1
ALFA ROMEO,TONALE,2024,2
ALFA ROMEO,TONALE,2025,3
AUDI,A3,2016,4
AUDI,A3,2017,5
AUDI,A3,2018,6
AUDI,A6,2025,7
AUDI,A7 E,2021,8
AUDI,A8 E,2020,9
AUDI,E-TRON,2019,10
AUDI,E-TRON,2021,11
AUDI,E-TRON,2022,12
AUDI,E-TRON,2023,13
AUDI,E-TRON GT,2022,14
AUDI,E-TRON GT,2023,15
AUDI,E-TRON GT,2024,16
AUDI,E-TRON SPORTBACK,2020,17
AUDI,E-TRON SPORTBACK,2021,18
AUDI,E-TRON SPORTBACK,2022,19
AUDI,Q4,2022,20
AUDI,Q4,2023,21
AUDI,Q4,2024,22
AUDI,Q4,2025,23
AUDI,Q4,2026,24
AUDI,Q5,2022,25
AUDI,Q5 E,2020,26
AUDI,Q5 E,2021,27
AUDI,Q5 E,2023,28
AUDI,Q5 E,2024,29
AUDI,Q5 E,2025,30
AUDI,Q6,2025,31
AUDI,Q8,2024,32
AUDI,RS E-TRON GT,2022,33
AUDI,RS E-TRON GT,2023,34
AUDI,RS E-TRON GT,2024,35
AUDI,RS E-TRON GT,2025,36
AUDI,RS E-TRON GT,2026,37
AUDI,S E-TRON GT,2025,38
AUDI,S6,2025,39
AUDI,SQ6,2025,40
AUDI,SQ8,2024,41
AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,2011,42
BENTLEY,BENTAYGA,2021,43
BENTLEY,BENTAYGA,2023,44
BENTLEY,BENTAYGA,2024,45
BENTLEY,CONTINENTAL,2025,46
BENTLEY,FLYING SPUR,2022,47
BENTLEY,FLYING SPUR,2025,48
BMW,330E,2016,49
BMW,330E,2017,50
BMW,330E,2018,51
BMW,330E,2021,52
BMW,330E,2022,53
BMW,330E,2023,54
BMW,330E,2024,55
BMW,530E,2018,56
BMW,530E,2019,57
BMW,530E,2020,58
BMW,530E,2021,59
BMW,530E,2022,60
BMW,530E,2023,61
BMW,550E,2025,62
BMW,550E,2026,63
BMW,740E,2017,64
BMW,740E,2018,65
BMW,740E,2019,66
BMW,745E,2020,67
BMW,745E,2021,68
BMW,745LE,2022,69
BMW,750E,2024,70
BMW,750E,2025,71
BMW,I3,2014,72
BMW,I3,2015,73
BMW,I3,2016,74
BMW,I3,2017,75
BMW,I3,2018,76
BMW,I3,2019,77
BMW,I3,2020,78
BMW,I3,2021,79
BMW,I4,2022,80
BMW,I4,2023,81
BMW,I4,2024,82
BMW,I4,2025,83
BMW,I5,2024,84
BMW,I5,2025,85
BMW,I5,2026,86
BMW,I7,2023,87
BMW,I7,2024,88
BMW,I7,2025,89
BMW,I7,2026,90
BMW,I8,2014,91
BMW,I8,2015,92
BMW,I8,2016,93
BMW,I8,2017,94
BMW,I8,2019,95
BMW,IX,2022,96
BMW,IX,2023,97
BMW,IX,2024,98
BMW,IX,2025,99
BMW,IX,2026,100
BMW,M5,2025,101
BMW,M5,2026,102
BMW,X3,2020,103
BMW,X3,2021,104
BMW,X5,2016,105
BMW,X5,2017,106
BMW,X5,2018,107
BMW,X5,2021,108
BMW,X5,2022,109
BMW,X5,2023,110
BMW,X5,2024,111
BMW,X5,2025,112
BMW,X5,2026,113
BMW,XM,2024,114
BMW,XM,2025,115
BRIGHTDROP,ZEVO,2023,116
BRIGHTDROP,ZEVO,2024,117
CADILLAC,CT6,2017,118
CADILLAC,CT6,2018,119
CADILLAC,ELR,2014,120
CADILLAC,ELR,2016,121
CADILLAC,LYRIQ,2023,122
CADILLAC,LYRIQ,2024,123
CADILLAC,LYRIQ,2025,124
CADILLAC,LYRIQ,2026,125
CADILLAC,OPTIQ,2025,126
CADILLAC,OPTIQ,2026,127
CADILLAC,VISTIQ,2026,128
CHEVROLET,BLAZER,2024,129
CHEVROLET,BLAZER,2025,130
CHEVROLET,BLAZER,2026,131
CHEVROLET,BOLT EUV,2022,132
CHEVROLET,BOLT EUV,2023,133
CHEVROLET,BOLT EV,2017,134
CHEVROLET,BOLT EV,2018,135
CHEVROLET,BOLT EV,2019,136
CHEVROLET,BOLT EV,2020,137
CHEVROLET,BOLT EV,2021,138
CHEVROLET,BOLT EV,2022,139
CHEVROLET,BOLT EV,2023,140
CHEVROLET,BRIGHTDROP,2025,141
CHEVROLET,EQUINOX,2024,142
CHEVROLET,EQUINOX,2025,143
CHEVROLET,EQUINOX,2026,144
CHEVROLET,SILVERADO,2024,145
CHEVROLET,SILVERADO,2025,146
CHEVROLET,SILVERADO,2026,147
CHEVROLET,SPARK,2014,148
CHEVROLET,SPARK,2015,149
CHEVROLET,SPARK,2016,150
CHEVROLET,VOLT,2011,151
CHEVROLET,VOLT,2012,152
CHEVROLET,VOLT,2013,153
CHEVROLET,VOLT,2014,154
CHEVROLET,VOLT,2015,155
CHEVROLET,VOLT,2016,156
CHEVROLET,VOLT,2017,157
CHEVROLET,VOLT,2018,158
CHEVROLET,VOLT,2019,159
CHRYSLER,PACIFICA,2017,160
CHRYSLER,PACIFICA,2018,161
CHRYSLER,PACIFICA,2019,162
CHRYSLER,PACIFICA,2020,163
CHRYSLER,PACIFICA,2021,164
CHRYSLER,PACIFICA,2022,165
CHRYSLER,PACIFICA,2023,166
CHRYSLER,PACIFICA,2024,167
CHRYSLER,PACIFICA,2025,168
CHRYSLER,PACIFICA,2026,169
DODGE,CHARGER,2024,170
DODGE,CHARGER,2025,171
DODGE,CHARGER,2026,172
DODGE,HORNET,2024,173
FIAT,500,2013,174
FIAT,500,2014,175
FIAT,500,2015,176
FIAT,500,2016,177
FIAT,500,2017,178
FIAT,500,2018,179
FIAT,500,2019,180
FIAT,500E,2024,181
FIAT,500E,2025,182
FISKER,KARMA,2012,183
FISKER,OCEAN,2023,184
FORD,C-MAX,2013,185
FORD,C-MAX,2014,186
FORD,C-MAX,2015,187
FORD,C-MAX,2016,188
FORD,C-MAX,2017,189
FORD,ESCAPE,2021,190
FORD,ESCAPE,2022,191
FORD,ESCAPE,2023,192
FORD,ESCAPE,2024,193
FORD,ESCAPE,2025,194
FORD,F-150,2022,195
FORD,F-150,2023,196
FORD,F-150,2024,197
